parsT,pars,vv,binjan,aspect,tijd,toestand,stam,vorm,modus,persoon,geslacht,getal,status,extra
W-Qa-Ic-3MM,W-VGGAA-3MM-N,W,Qa,Ic,V,G,G,A,A,3,M,M,NULL,N
N-MEC,N-MEC-P,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,M,E,C,P
W-Pi-Pa-VEC,W-GGVAD-VEC,W,Pi,Pa,G,G,V,A,D,NULL,V,E,C,NULL
W-Pu-Ia,W-GGVPO,W,Pu,Ia,G,G,V,P,O,NULL,NULL,NULL,NULL,NULL
P-2VM,P-2VM,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,V,M,NULL,NULL
W-Pi-Ic-1OM,W-VGVAA-1OM-P,W,Pi,Ic,V,G,V,A,A,1,O,M,NULL,P
W-Pu-Ic-3ME,W-VGVPA-3ME,W,Pu,Ic,V,G,V,P,A,3,M,E,NULL,NULL
W-Pu-Ip-2VE,W-GOVPA-2VE,W,Pu,Ip,G,O,V,P,A,2,V,E,NULL,NULL
N-VEE,N-VEE,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,V,E,E,NULL
W-Hp-Ju-2MM,W-GGVRW-2MM,W,Hp,Ju,G,G,V,R,W,2,M,M,NULL,NULL
W-Ht-Pf-3VE,W-GHVVA-3VE,W,Ht,Pf,G,H,V,V,A,3,V,E,NULL,NULL
W-Hi-Ki-1OE,WO-GHCAA-1OE,W,Hi,Ki,G,H,C,A,A,1,O,E,NULL,NULL
W-Ni-Ip-2MM,W-GOGOA-2MM-N,W,Ni,Ip,G,O,G,O,A,2,M,M,NULL,N
W-Hp-Ic-2ME,W-VGVRA-2ME,W,Hp,Ic,V,G,V,R,A,2,M,E,NULL,NULL
W-Hp-Ju-3MM,W-GGVRW-3MM,W,Hp,Ju,G,G,V,R,W,3,M,M,NULL,NULL
W-Pi-Pf-3ME,W-GHVAA-3ME-N,W,Pi,Pf,G,H,V,A,A,3,M,E,NULL,N
W-Ti-Pf-1OE,W-GHCAA-1OE,W,Ti,Pf,G,H,C,A,A,1,O,E,NULL,NULL
W-Ni-Ic-2ME,W-VGGOA-2ME,W,Ni,Ic,V,G,G,O,A,2,M,E,NULL,NULL
W-Pq-Ip-3MM,W-GOGPA-3MM,W,Pq,Ip,G,O,G,P,A,3,M,M,NULL,NULL
W-Ht-In,W-GGVVO,W,Ht,In,G,G,V,V,O,NULL,NULL,NULL,NULL,NULL
P-3ME,P-3ME,P,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,M,E,NULL,NULL
S-3ME,S-3ME,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,M,E,NULL,NULL
S-1OE,S-1OE,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,O,E,NULL,NULL
S-1OE,S-1OE-N,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,O,E,NULL,N
S-1OM,S-1OM,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,O,M,NULL,NULL
S-2ME,S-2ME,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,M,E,NULL,NULL
S-2ME,S-2ME-N,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,M,E,NULL,N
S-2MM,S-2MM,S,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,M,M,NULL,NULL
