vid,Woord,id
20023006,9,73853
20023024,1,87347
20023024,2,87328
20023024,5,779
20023024,6,20967
20023024,8,63848
20023026,13,70686
20023029,9,92694
20023031,8,198
20023031,9,650
20023031,10,58406
20024001,8,73853
20024017,3,48866
20024017,4,62575
20025024,8,92695
20026002,14,3761
20026002,15,62412
20026021,10,92695
20026024,1,203
20026024,2,36271
20026024,3,62411
20027010,3,779
20027010,4,36631
20027015,8,92695
20027020,2,793
20027020,3,92804
20027024,11,781
20027024,12,29906
20028008,6,779
20028008,7,72873
20028016,7,50380
20030010,5,44419
20030010,6,62411
20030018,6,789
20030018,7,12218
20031004,15,20109
20031016,10,11480
20031018,8,196
20031018,9,650
20031018,10,4202
21004008,21,19101
21004008,22,62414
21004017,2,32873
21004017,3,62603
21005008,7,62354
21005010,16,93062
21006010,19,29232
21006010,20,93065
21007022,10,20591
21009004,4,39627
21010003,6,9166
21010003,7,29232
21010003,8,89340
21010010,15,93081
21010020,26,8317
21012006,4,91463
22001017,5,92918
22001017,6,62543
22002011,3,648
22002011,4,92928
22002013,13,3801
22002013,14,62674
22004009,8,195
22004009,9,4341
23003015,1,16447
23003015,2,3905
23003015,3,62655
23003016,11,37793
23005029,7,81003
23009002,4,3757
23009002,5,62414
23009006,1,3862
23009006,2,87359
23010006,20,780
23010006,21,3862
23010006,22,11567
23010006,23,62414
23010013,18,778
23010013,19,87446
23010013,20,62715
23010032,12,28510
23012005,6,19008
23013016,14,45618
23016003,1,15484
23018004,7,79323
23023012,13,35349
23023013,15,88106
23023013,16,62411
23025010,18,88175
23026020,10,45676
23026020,11,62579
23026020,19,32332
23028015,12,85221
23028015,15,32340
23029011,20,28111
23030032,22,206
23030032,23,62766
23030033,7,12669
23032007,11,67995
23032015,14,779
23032015,15,648
23032015,16,86478
23036012,35,86385
23036012,36,62748
23036012,41,2125
23036012,42,32917
23036012,43,62755
23037030,30,779
23037030,31,14534
23039002,11,86556
23039002,12,62412
23041023,17,779
23041023,18,2828
23042020,1,2874
23042024,3,3766
23042024,4,86573
23044017,10,88865
23044024,23,5271
23044024,24,23840
23044024,25,62511
23045002,8,75258
23046011,9,78521
23046011,10,62495
23047013,11,88936
23049005,20,3761
23049005,21,62412
23049006,15,780
23049006,16,70687
23049013,6,780
23049013,7,87720
23052002,7,31360
23052005,3,16416
23052005,4,3953
23052005,5,62452
23052005,14,7872
23052005,15,62411
23054016,1,9394
23055013,6,779
23055013,7,5332
23056010,1,55102
23056010,2,62411
23057019,2,89096
23058014,9,73202
23060021,12,89177
23060021,13,62494
23062003,8,780
23062003,9,89199
23063009,5,3761
23063009,6,62412
23065004,16,780
23065004,17,80656
23065007,26,5529
23066017,10,4331
24001005,3,11220
24001005,4,62599
24002003,6,60718
24002003,7,62392
24002015,16,78923
24002016,4,779
24002016,5,89256
24002020,13,32298
24002024,6,7986
24002024,7,62808
24002025,6,780
24002025,7,87032
24002025,8,62674
24002027,13,21004
24002027,14,62543
24002033,13,76582
24003002,10,45620
24003004,5,3699
24003005,10,33620
24003007,15,778
24003007,16,2956
24003019,24,3610
24003019,32,22104
24004005,10,54448
24004019,5,33041
24004019,19,19920
24004030,1,779
24004030,2,38217
24005007,4,70702
24005024,16,76992
