id,tekst,vid,WoordVan,WoordTot,WoordVan_v,WoordTot_v
595,K/Q,18033019,8,9,8,9
596,K/Q,18033021,6,7,6,7
597,K/Q,18033028,2,3,2,3
598,K/Q,18033028,9,11,9,11
599,K/Q,18037012,5,7,5,7
600,K/Q,18038001,6,8,6,8
601,K/Q,18038012,7,8,7,9
602,K/Q,18038041,9,10,9,10
603,K/Q,18039012,6,6,6,6
604,K/Q,18039026,8,9,8,9
605,K/Q,18039030,1,3,1,3
606,K/Q,18040006,6,7,6,7
607,K/Q,18040017,7,8,7,8
608,K/Q,18041004,1,1,1,2
609,K/Q,18042002,1,1,1,1
610,K/Q,18042010,5,5,5,5
611,K/Q,18042011,10,11,10,11
612,K/Q,18042016,10,11,10,11
613,K/Q,19005009,10,10,10,10
614,K/Q,19006004,6,7,6,7
615,K/Q,19009013,10,10,10,10
616,K/Q,19009019,8,8,8,8
617,K/Q,19010005,2,3,2,3
618,K/Q,19010010,1,2,1,1
619,K/Q,19010010,9,9,8,9
620,K/Q,19010012,9,9,9,9
621,K/Q,19011001,14,14,14,14
622,K/Q,19017011,4,5,4,5
623,K/Q,19017014,15,17,15,17
624,K/Q,19018051,1,1,1,1
625,K/Q,19024006,3,4,3,4
626,K/Q,19026002,7,7,7,7
627,K/Q,19030004,9,10,9,11
628,K/Q,19038021,9,10,9,10
629,K/Q,19039001,4,5,4,5
630,K/Q,19041003,7,7,7,8
631,K/Q,19042009,10,11,10,11
632,K/Q,19049015,18,20,18,20
633,K/Q,19051004,1,1,1,1
634,K/Q,19054007,1,1,1,1
635,K/Q,19055016,1,1,1,2
636,K/Q,19056007,2,2,2,2
637,K/Q,19058008,8,9,8,9
638,K/Q,19059011,2,3,2,3
639,K/Q,19059016,2,2,2,2
640,K/Q,19060007,8,10,8,10
641,K/Q,19066007,15,15,15,15
642,K/Q,19071012,11,11,11,11
643,K/Q,19071020,2,3,2,3
644,K/Q,19071020,9,10,9,10
645,K/Q,19072017,9,9,9,9
646,K/Q,19073002,5,5,5,5
647,K/Q,19073002,10,10,10,10
648,K/Q,19073010,2,2,2,2
649,K/Q,19073016,7,7,7,7
650,K/Q,19074006,1,2,1,2
651,K/Q,19074011,10,11,10,11
652,K/Q,19077001,5,5,5,5
653,K/Q,19077012,1,1,1,1
654,K/Q,19077020,6,8,6,8
655,K/Q,19079010,9,11,9,11
656,K/Q,19085002,6,6,6,6
657,K/Q,19089018,10,10,10,10
658,K/Q,19089029,3,3,3,3
659,K/Q,19090008,1,1,1,1
660,K/Q,19092016,10,10,10,10
661,K/Q,19100003,9,10,9,11
662,K/Q,19101005,1,1,1,1
663,K/Q,19102024,5,6,5,6
664,K/Q,19105018,5,6,5,6
665,K/Q,19105028,9,10,9,10
666,K/Q,19106045,11,12,11,12
667,K/Q,19119079,6,7,6,7
668,K/Q,19119147,7,9,7,9
669,K/Q,19119161,5,8,5,8
670,K/Q,19123004,13,15,13,15
671,K/Q,19126004,4,5,4,5
672,K/Q,19129003,7,9,7,9
673,K/Q,19139006,1,1,1,1
674,K/Q,19139016,15,16,15,17
675,K/Q,19140010,7,8,7,8
676,K/Q,19140011,1,1,1,1
677,K/Q,19140013,1,1,1,1
678,K/Q,19145006,6,8,6,8
679,K/Q,19147019,2,3,2,3
680,K/Q,19148002,9,10,9,10
681,K/Q,20001027,3,4,3,4
682,K/Q,20002007,1,2,1,1
683,K/Q,20002008,7,8,7,8
684,K/Q,20003015,3,4,3,4
685,K/Q,20003027,11,12,11,12
686,K/Q,20003028,3,5,3,5
687,K/Q,20003030,2,2,2,2
688,K/Q,20003034,7,9,7,9
689,K/Q,20004016,13,13,13,13
690,K/Q,20006013,2,4,2,4
691,K/Q,20006013,6,8,6,8
692,K/Q,20006014,10,10,10,10
693,K/Q,20006016,7,7,7,7
694,K/Q,20008017,2,3,2,3
695,K/Q,20008035,4,4,4,4
696,K/Q,20011003,8,10,8,9
697,K/Q,20012014,11,11,11,11
698,K/Q,20013020,1,1,1,1
699,K/Q,20013020,4,5,4,4
700,K/Q,20014021,8,8,8,8
701,K/Q,20015014,5,6,5,6
702,K/Q,20016019,5,5,5,5
703,K/Q,20016027,7,8,7,8
704,K/Q,20017013,6,6,6,6
705,K/Q,20017027,6,7,6,6
706,K/Q,20018017,7,7,7,8
707,K/Q,20018019,6,7,6,7
708,K/Q,20019007,15,15,15,16
